order_id,date,region,product,qty,unit_price
1050,2026-06-10,Peshawar,Widget C,3,541.92
1051,2026-06-19,Karachi,Widget A,18,1459.19
1052,2026-05-05,Islamabad,Widget A,8,2162.87
1053,2026-04-15,Multan,Widget C,20,4927.34
1054,2026-06-17,Karachi,Widget C,4,4725.19
1055,2026-04-09,Karachi,Widget A,18,1199.52
1056,2026-05-20,Lahore,Widget C,7,3593.74
1057,2026-05-17,Peshawar,Widget C,2,915.34
1058,2026-05-27,Islamabad,Widget A,1,2001.0
1059,2026-04-21,Islamabad,Widget B,15,2982.56
1060,2026-05-18,Karachi,Widget A,3,4752.73
1061,2026-06-05,Multan,Widget A,12,3121.29
1062,2026-04-14,Lahore,Widget A,10,2140.93
1063,2026-04-12,Lahore,Widget B,4,2091.55
1064,2026-06-28,Peshawar,Widget B,8,4390.73
1065,2026-04-14,Karachi,Widget B,11,4020.74
1066,2026-05-26,Lahore,Widget C,6,4043.19
1067,2026-04-13,Karachi,Widget D,8,1398.08
1068,2026-05-12,Islamabad,Widget B,8,606.49
1069,2026-04-13,Islamabad,Widget C,3,4851.0
1070,2026-05-12,Multan,Widget D,18,1990.17
1071,2026-04-04,Islamabad,Widget B,19,4831.4
1072,2026-05-02,Karachi,Widget D,12,3778.45
1073,2026-05-14,Multan,Widget A,13,4547.77
1074,2026-04-09,Karachi,Widget D,1,2839.64
1075,2026-06-22,Lahore,Widget C,14,814.88
1076,2026-06-11,Multan,Widget C,4,3738.89
1077,2026-05-17,Islamabad,Widget D,11,2310.8
1078,2026-05-18,Lahore,Widget B,14,3492.18
1079,2026-05-22,Lahore,Widget C,13,2965.72
1080,2026-04-10,Islamabad,Widget B,14,4035.91
1081,2026-06-21,Islamabad,Widget D,15,2489.72
1082,2026-04-17,Peshawar,Widget B,3,1777.04
1083,2026-06-21,Multan,Widget C,3,4182.91
1084,2026-04-22,Islamabad,Widget B,7,1163.09
1085,2026-04-08,Peshawar,Widget A,15,2364.98
1086,2026-06-19,Lahore,Widget D,16,2298.44
1087,2026-04-21,Karachi,Widget A,14,1484.79
1088,2026-06-17,Peshawar,Widget A,18,1621.39
1089,2026-04-15,Lahore,Widget D,17,4945.52
1090,2026-06-11,Peshawar,Widget D,18,2506.61
1091,2026-04-24,Peshawar,Widget D,9,3883.0
1092,2026-06-09,Multan,Widget D,8,1735.69
1093,2026-04-23,Islamabad,Widget B,9,2011.31
1094,2026-06-03,Lahore,Widget B,8,2223.66
1095,2026-04-23,Lahore,Widget A,14,2334.2
1096,2026-06-15,Peshawar,Widget A,7,4248.01
1097,2026-05-25,Multan,Widget A,19,2211.71
1098,2026-04-12,Islamabad,Widget D,14,2921.99
1099,2026-06-18,Multan,Widget B,16,1487.4
