"CustomerID","CustomerName","ZipCode"
"C0001","Customer 1","10001"
"C0002","Customer 2","10002"
"C0003","Customer 3","10003"
"C0004","Customer 4","10004"
"C0005","Customer 5","10005"
"C0006","Customer 6","10006"
"C0007","Customer 7","10007"
"C0008","Customer 8","10008"
"C0009","Customer 9","10009"
"C0010","Customer 10","10010"
"C0011","Customer 11","10011"
"C0012","Customer 12","10012"
"C0013","Customer 13","10013"
"C0014","Customer 14","10014"
"C0015","Customer 15","10015"
"C0016","Customer 16","10016"
"C0017","Customer 17","10017"
"C0018","Customer 18","10018"
"C0019","Customer 19","10019"
"C0020","Customer 20","10020"
"C0021","Customer 21","10021"
"C0022","Customer 22","10022"
"C0023","Customer 23","10023"
"C0024","Customer 24","10024"
"C0025","Customer 25","10025"
"C0026","Customer 26","10026"
"C0027","Customer 27","10027"
"C0028","Customer 28","10028"
"C0029","Customer 29","10029"
"C0030","Customer 30","10030"
"C0031","Customer 31","10031"
"C0032","Customer 32","10032"
"C0033","Customer 33","10033"
"C0034","Customer 34","10034"
"C0035","Customer 35","10035"
"C0036","Customer 36","10036"
"C0037","Customer 37","10037"
"C0038","Customer 38","10038"
"C0039","Customer 39","10039"
"C0040","Customer 40","10040"
"C0041","Customer 41","10041"
"C0042","Customer 42","10042"
"C0043","Customer 43","10043"
"C0044","Customer 44","10044"
"C0045","Customer 45","10045"
"C0046","Customer 46","10046"
"C0047","Customer 47","10047"
"C0048","Customer 48","10048"
"C0049","Customer 49","10049"
"C0050","Customer 50","10050"
"C0051","Customer 51","10051"
"C0052","Customer 52","10052"
"C0053","Customer 53","10053"
"C0054","Customer 54","10054"
"C0055","Customer 55","10055"
"C0056","Customer 56","10056"
"C0057","Customer 57","10057"
"C0058","Customer 58","10058"
"C0059","Customer 59","10059"
"C0060","Customer 60","10060"
"C0061","Customer 61","10061"
"C0062","Customer 62","10062"
"C0063","Customer 63","10063"
"C0064","Customer 64","10064"
"C0065","Customer 65","10065"
"C0066","Customer 66","10066"
"C0067","Customer 67","10067"
"C0068","Customer 68","10068"
"C0069","Customer 69","10069"
"C0070","Customer 70","10070"
"C0071","Customer 71","10071"
"C0072","Customer 72","10072"
"C0073","Customer 73","10073"
"C0074","Customer 74","10074"
"C0075","Customer 75","10075"
"C0076","Customer 76","10076"
"C0077","Customer 77","10077"
"C0078","Customer 78","10078"
"C0079","Customer 79","10079"
"C0080","Customer 80","10080"
"C0081","Customer 81","10081"
"C0082","Customer 82","10082"
"C0083","Customer 83","10083"
"C0084","Customer 84","10084"
"C0085","Customer 85","10085"
"C0086","Customer 86","10086"
"C0087","Customer 87","10087"
"C0088","Customer 88","10088"
"C0089","Customer 89","10089"
"C0090","Customer 90","10090"
"C0091","Customer 91","10091"
"C0092","Customer 92","10092"
"C0093","Customer 93","10093"
"C0094","Customer 94","10094"
"C0095","Customer 95","10095"
"C0096","Customer 96","10096"
"C0097","Customer 97","10097"
"C0098","Customer 98","10098"
"C0099","Customer 99","10099"
"C0100","Customer 100","10100"
"C0101","Customer 101","10101"
"C0102","Customer 102","10102"
"C0103","Customer 103","10103"
"C0104","Customer 104","10104"
"C0105","Customer 105","10105"
"C0106","Customer 106","10106"
"C0107","Customer 107","10107"
"C0108","Customer 108","10108"
"C0109","Customer 109","10109"
"C0110","Customer 110","10110"
"C0111","Customer 111","10111"
"C0112","Customer 112","10112"
"C0113","Customer 113","10113"
"C0114","Customer 114","10114"
"C0115","Customer 115","10115"
"C0116","Customer 116","10116"
"C0117","Customer 117","10117"
"C0118","Customer 118","10118"
"C0119","Customer 119","10119"
"C0120","Customer 120","10120"
"C0121","Customer 121","10001"
"C0122","Customer 122","10002"
"C0123","Customer 123","10003"
"C0124","Customer 124","10004"
"C0125","Customer 125","10005"
"C0126","Customer 126","10006"
"C0127","Customer 127","10007"
"C0128","Customer 128","10008"
"C0129","Customer 129","10009"
"C0130","Customer 130","10010"
"C0131","Customer 131","10011"
"C0132","Customer 132","10012"
"C0133","Customer 133","10013"
"C0134","Customer 134","10014"
"C0135","Customer 135","10015"
"C0136","Customer 136","10016"
"C0137","Customer 137","10017"
"C0138","Customer 138","10018"
"C0139","Customer 139","10019"
"C0140","Customer 140","10020"
"C0141","Customer 141","10021"
"C0142","Customer 142","10022"
"C0143","Customer 143","10023"
"C0144","Customer 144","10024"
"C0145","Customer 145","10025"
"C0146","Customer 146","10026"
"C0147","Customer 147","10027"
"C0148","Customer 148","10028"
"C0149","Customer 149","10029"
"C0150","Customer 150","10030"
"C0151","Customer 151","10031"
"C0152","Customer 152","10032"
"C0153","Customer 153","10033"
"C0154","Customer 154","10034"
"C0155","Customer 155","10035"
"C0156","Customer 156","10036"
"C0157","Customer 157","10037"
"C0158","Customer 158","10038"
"C0159","Customer 159","10039"
"C0160","Customer 160","10040"
"C0161","Customer 161","10041"
"C0162","Customer 162","10042"
"C0163","Customer 163","10043"
"C0164","Customer 164","10044"
"C0165","Customer 165","10045"
"C0166","Customer 166","10046"
"C0167","Customer 167","10047"
"C0168","Customer 168","10048"
"C0169","Customer 169","10049"
"C0170","Customer 170","10050"
"C0171","Customer 171","10051"
"C0172","Customer 172","10052"
"C0173","Customer 173","10053"
"C0174","Customer 174","10054"
"C0175","Customer 175","10055"
"C0176","Customer 176","10056"
"C0177","Customer 177","10057"
"C0178","Customer 178","10058"
"C0179","Customer 179","10059"
"C0180","Customer 180","10060"
"C0181","Customer 181","10061"
"C0182","Customer 182","10062"
"C0183","Customer 183","10063"
"C0184","Customer 184","10064"
"C0185","Customer 185","10065"
"C0186","Customer 186","10066"
"C0187","Customer 187","10067"
"C0188","Customer 188","10068"
"C0189","Customer 189","10069"
"C0190","Customer 190","10070"
"C0191","Customer 191","10071"
"C0192","Customer 192","10072"
"C0193","Customer 193","10073"
"C0194","Customer 194","10074"
"C0195","Customer 195","10075"
"C0196","Customer 196","10076"
"C0197","Customer 197","10077"
"C0198","Customer 198","10078"
"C0199","Customer 199","10079"
"C0200","Customer 200","10080"
"C0201","Customer 201","10081"
"C0202","Customer 202","10082"
"C0203","Customer 203","10083"
"C0204","Customer 204","10084"
"C0205","Customer 205","10085"
"C0206","Customer 206","10086"
"C0207","Customer 207","10087"
"C0208","Customer 208","10088"
"C0209","Customer 209","10089"
"C0210","Customer 210","10090"
"C0211","Customer 211","10091"
"C0212","Customer 212","10092"
"C0213","Customer 213","10093"
"C0214","Customer 214","10094"
"C0215","Customer 215","10095"
"C0216","Customer 216","10096"
"C0217","Customer 217","10097"
"C0218","Customer 218","10098"
"C0219","Customer 219","10099"
"C0220","Customer 220","10100"
"C0221","Customer 221","10101"
"C0222","Customer 222","10102"
"C0223","Customer 223","10103"
"C0224","Customer 224","10104"
"C0225","Customer 225","10105"
"C0226","Customer 226","10106"
"C0227","Customer 227","10107"
"C0228","Customer 228","10108"
"C0229","Customer 229","10109"
"C0230","Customer 230","10110"
"C0231","Customer 231","10111"
"C0232","Customer 232","10112"
