"Area Code","State","Market","Market Size","Margin","Sales","COGS","Total Expenses","Marketing","Inventory","Budget Profit","Budget COGS","Budget Margin","Budget Sales","ProductId","Date","Product Type","Product","Type","Profit"
"203","Connecticut","East","Small Market","176.0","292.0","116.0","69.0","38.0","962.0","110.0","110.0","160.0","270.0","2","04/01/10 00:00:00","Coffee","Columbian","Regular","176"
"203","Connecticut","East","Small Market","135.0","225.0","90.0","60.0","29.0","1148.0","90.0","80.0","130.0","210.0","2","07/01/10 00:00:00","Coffee","Columbian","Regular","135"
"203","Connecticut","East","Small Market","195.0","325.0","130.0","73.0","42.0","1134.0","130.0","110.0","180.0","290.0","2","11/01/10 00:00:00","Coffee","Columbian","Regular","195"
"203","Connecticut","East","Small Market","174.0","289.0","115.0","69.0","37.0","1166.0","110.0","100.0","160.0","260.0","2","12/01/10 00:00:00","Coffee","Columbian","Regular","174"
"203","Connecticut","East","Small Market","135.0","223.0","90.0","56.0","29.0","1148.0","90.0","80.0","130.0","210.0","2","07/01/11 00:00:00","Coffee","Columbian","Regular","133"
"203","Connecticut","East","Small Market","135.0","223.0","90.0","56.0","29.0","1139.0","90.0","80.0","130.0","210.0","2","08/01/11 00:00:00","Coffee","Columbian","Regular","133"
"203","Connecticut","East","Small Market","155.0","275.0","103.0","64.0","33.0","1130.0","110.0","90.0","150.0","240.0","2","09/01/11 00:00:00","Coffee","Columbian","Regular","172"
"203","Connecticut","East","Small Market","188.0","334.0","125.0","73.0","41.0","1119.0","130.0","100.0","160.0","260.0","2","10/01/11 00:00:00","Coffee","Columbian","Regular","209"
"203","Connecticut","East","Small Market","195.0","346.0","130.0","73.0","42.0","1134.0","130.0","110.0","180.0","290.0","2","11/01/11 00:00:00","Coffee","Columbian","Regular","216"
"203","Connecticut","East","Small Market","31.0","51.0","20.0","16.0","5.0","804.0","20.0","20.0","30.0","50.0","13","06/01/10 00:00:00","Tea","Green Tea","Regular","31"
"203","Connecticut","East","Small Market","54.0","","36.0","21.0","10.0","809.0","40.0","30.0","60.0","90.0","13","11/01/10 00:00:00","Tea","Green Tea","Regular",""
"203","Connecticut","East","Small Market","28.0","47.0","19.0","15.0","5.0","811.0","20.0","20.0","30.0","50.0","13","08/01/11 00:00:00","Tea","Green Tea","Regular","28"
"203","Connecticut","East","Small Market","36.0","64.0","24.0","18.0","6.0","806.0","40.0","20.0","40.0","60.0","13","10/01/11 00:00:00","Tea","Green Tea","Regular","40"
"203","Connecticut","East","Small Market","54.0","96.0","36.0","21.0","10.0","809.0","40.0","30.0","60.0","90.0","13","11/01/11 00:00:00","Tea","Green Tea","Regular","60"
