"OrderID","Date","Region","City","Category","Product","CustomerSegment","Channel","Sales","COGS","Profit","Quantity","Discount","Rating"
"O0001","2025-07-10","North","River Town","Beverages","Coffee","Consumer","Store","48","18","30","6","0","3"
"O0002","2025-04-04","North","Lakeside","Beverages","Tea","Consumer","Online","10.2","4","6.2","2","0.15","2"
"O0003","2025-07-30","West","Hillview","Food","Sandwich","Consumer","Online","60","30","30","5","0","4"
"O0004","2025-09-17","North","Maple City","Food","Muffin","Corporate","Store","31.5","14","17.5","7","0.1","3"
"O0005","2025-08-01","South","Cedar Point","Accessories","Bottle","Consumer","Store","30","14","16","2","0","5"
"O0006","2025-01-10","North","Maple City","Accessories","Mug","Corporate","Store","57","24","33","6","0.05","1"
"O0007","2025-08-25","South","Maple City","Beverages","Coffee","Consumer","Store","13.6","6","7.6","2","0.15","3"
"O0008","2025-08-18","East","River Town","Beverages","Tea","Consumer","Online","5.7","2","3.7","1","0.05","2"
"O0009","2025-06-19","North","Maple City","Food","Sandwich","Corporate","Online","10.8","6","4.8","1","0.1","3"
"O0010","2025-01-05","West","Maple City","Food","Muffin","Consumer","Store","20","8","12","4","0","1"
"O0011","2025-05-17","South","Lakeside","Accessories","Bottle","Consumer","Online","102","56","46","8","0.15","1"
"O0012","2025-05-27","East","River Town","Accessories","Mug","Corporate","Store","34","16","18","4","0.15","4"
"O0013","2025-05-02","West","Cedar Point","Beverages","Coffee","Consumer","Online","6.8","3","3.8","1","0.15","3"
"O0014","2025-02-19","North","River Town","Beverages","Tea","Small Business","Store","15.3","6","9.3","3","0.15","5"
"O0015","2025-04-16","East","Lakeside","Food","Sandwich","Corporate","Store","75.6","42","33.6","7","0.1","1"
"O0016","2025-03-22","North","River Town","Food","Muffin","Consumer","Online","12.75","6","6.75","3","0.15","3"
"O0017","2025-02-14","West","Maple City","Accessories","Bottle","Consumer","Online","60","28","32","4","0","4"
"O0018","2025-11-03","North","Sunnyvale","Accessories","Mug","Consumer","Store","70","28","42","7","0","5"
"O0019","2025-08-17","East","River Town","Beverages","Coffee","Consumer","Online","21.6","9","12.6","3","0.1","1"
"O0020","2025-10-13","West","Maple City","Beverages","Tea","Corporate","Online","10.2","4","6.2","2","0.15","2"
"O0021","2025-02-14","East","Lakeside","Food","Sandwich","Small Business","Store","54","30","24","5","0.1","3"
"O0022","2025-07-18","South","Sunnyvale","Food","Muffin","Corporate","Online","12.75","6","6.75","3","0.15","1"
"O0023","2025-09-20","West","Hillview","Accessories","Bottle","Small Business","Online","15","7","8","1","0","1"
"O0024","2025-03-05","West","Hillview","Accessories","Mug","Small Business","Store","68","32","36","8","0.15","5"
"O0025","2025-05-04","South","Lakeside","Beverages","Coffee","Corporate","Online","50.4","21","29.4","7","0.1","5"
"O0026","2025-03-25","South","Sunnyvale","Beverages","Tea","Small Business","Online","36","12","24","6","0","3"
"O0027","2025-12-14","West","Sunnyvale","Food","Sandwich","Small Business","Store","71.4","42","29.4","7","0.15","5"
"O0028","2025-08-20","North","Lakeside","Food","Muffin","Corporate","Online","9","4","5","2","0.1","5"
"O0029","2025-03-15","East","Lakeside","Accessories","Bottle","Corporate","Store","40.5","21","19.5","3","0.1","1"
"O0030","2025-03-20","North","River Town","Accessories","Mug","Consumer","Online","80","32","48","8","0","2"
"O0031","2025-06-15","South","Cedar Point","Beverages","Coffee","Small Business","Store","60.8","24","36.8","8","0.05","2"
"O0032","2025-12-09","North","Lakeside","Beverages","Tea","Small Business","Online","39.9","14","25.9","7","0.05","5"
"O0033","2025-04-25","West","Sunnyvale","Food","Sandwich","Corporate","Store","11.4","6","5.4","1","0.05","1"
"O0034","2025-11-22","North","Hillview","Food","Muffin","Corporate","Store","13.5","6","7.5","3","0.1","5"
"O0035","2025-01-12","West","Hillview","Accessories","Bottle","Small Business","Online","38.25","21","17.25","3","0.15","4"
"O0036","2025-03-21","South","Lakeside","Accessories","Mug","Small Business","Store","47.5","20","27.5","5","0.05","2"
"O0037","2025-11-04","North","River Town","Beverages","Coffee","Corporate","Online","48","18","30","6","0","1"
"O0038","2025-03-08","North","Lakeside","Beverages","Tea","Consumer","Store","28.5","10","18.5","5","0.05","1"
"O0039","2025-08-27","East","Sunnyvale","Food","Sandwich","Small Business","Store","72","36","36","6","0","3"
"O0040","2025-07-22","West","Lakeside","Food","Muffin","Corporate","Online","20","8","12","4","0","4"
"O0041","2025-04-24","North","Lakeside","Accessories","Bottle","Corporate","Store","108","56","52","8","0.1","2"
"O0042","2025-12-28","South","Lakeside","Accessories","Mug","Corporate","Online","42.5","20","22.5","5","0.15","3"
"O0043","2025-05-29","East","Maple City","Beverages","Coffee","Corporate","Online","32","12","20","4","0","2"
"O0044","2025-02-04","South","River Town","Beverages","Tea","Corporate","Online","21.6","8","13.6","4","0.1","5"
"O0045","2025-12-12","North","Sunnyvale","Food","Sandwich","Small Business","Store","86.4","48","38.4","8","0.1","5"
"O0046","2025-02-09","North","Sunnyvale","Food","Muffin","Small Business","Store","23.75","10","13.75","5","0.05","3"
"O0047","2025-05-17","North","Maple City","Accessories","Bottle","Consumer","Store","28.5","14","14.5","2","0.05","1"
"O0048","2025-10-29","West","Hillview","Accessories","Mug","Small Business","Online","17","8","9","2","0.15","4"
"O0049","2025-01-01","North","Lakeside","Beverages","Coffee","Consumer","Store","21.6","9","12.6","3","0.1","4"
"O0050","2025-09-05","West","Sunnyvale","Beverages","Tea","Small Business","Online","27","10","17","5","0.1","5"
"O0051","2025-10-24","West","Lakeside","Food","Sandwich","Consumer","Store","71.4","42","29.4","7","0.15","5"
"O0052","2025-12-19","East","Cedar Point","Food","Muffin","Corporate","Online","35","14","21","7","0","5"
"O0053","2025-05-12","West","Lakeside","Accessories","Bottle","Corporate","Store","28.5","14","14.5","2","0.05","1"
"O0054","2025-05-23","West","Maple City","Accessories","Mug","Corporate","Online","66.5","28","38.5","7","0.05","5"
"O0055","2025-07-22","North","Lakeside","Beverages","Coffee","Consumer","Online","34","15","19","5","0.15","1"
"O0056","2025-06-19","North","Hillview","Beverages","Tea","Small Business","Store","36","12","24","6","0","4"
"O0057","2025-08-14","South","Lakeside","Food","Sandwich","Consumer","Online","30.6","18","12.6","3","0.15","5"
"O0058","2025-04-26","West","River Town","Food","Muffin","Small Business","Store","34","16","18","8","0.15","5"
"O0059","2025-11-02","South","Cedar Point","Accessories","Bottle","Corporate","Online","12.75","7","5.75","1","0.15","5"
"O0060","2025-06-17","East","Cedar Point","Accessories","Mug","Small Business","Store","18","8","10","2","0.1","2"
"O0061","2025-02-09","North","Hillview","Beverages","Coffee","Small Business","Online","24","9","15","3","0","3"
"O0062","2025-10-10","East","Hillview","Beverages","Tea","Corporate","Store","36","12","24","6","0","2"
"O0063","2025-07-22","South","Maple City","Food","Sandwich","Consumer","Store","34.2","18","16.2","3","0.05","2"
"O0064","2025-11-29","South","Hillview","Food","Muffin","Corporate","Online","27","12","15","6","0.1","3"
"O0065","2025-02-06","West","River Town","Accessories","Bottle","Corporate","Online","27","14","13","2","0.1","3"
