"ZipCode","Area","Region"
"10001","Area 1","Region 1"
"10002","Area 1","Region 1"
"10003","Area 1","Region 1"
"10004","Area 1","Region 1"
"10005","Area 1","Region 1"
"10006","Area 1","Region 1"
"10007","Area 1","Region 1"
"10008","Area 1","Region 1"
"10009","Area 1","Region 1"
"10010","Area 1","Region 1"
"10011","Area 2","Region 1"
"10012","Area 2","Region 1"
"10013","Area 2","Region 1"
"10014","Area 2","Region 1"
"10015","Area 2","Region 1"
"10016","Area 2","Region 1"
"10017","Area 2","Region 1"
"10018","Area 2","Region 1"
"10019","Area 2","Region 1"
"10020","Area 2","Region 1"
"10021","Area 3","Region 1"
"10022","Area 3","Region 1"
"10023","Area 3","Region 1"
"10024","Area 3","Region 1"
"10025","Area 3","Region 1"
"10026","Area 3","Region 1"
"10027","Area 3","Region 1"
"10028","Area 3","Region 1"
"10029","Area 3","Region 1"
"10030","Area 3","Region 1"
"10031","Area 4","Region 1"
"10032","Area 4","Region 1"
"10033","Area 4","Region 1"
"10034","Area 4","Region 1"
"10035","Area 4","Region 1"
"10036","Area 4","Region 1"
"10037","Area 4","Region 1"
"10038","Area 4","Region 1"
"10039","Area 4","Region 1"
"10040","Area 4","Region 1"
"10041","Area 5","Region 2"
"10042","Area 5","Region 2"
"10043","Area 5","Region 2"
"10044","Area 5","Region 2"
"10045","Area 5","Region 2"
"10046","Area 5","Region 2"
"10047","Area 5","Region 2"
"10048","Area 5","Region 2"
"10049","Area 5","Region 2"
"10050","Area 5","Region 2"
"10051","Area 6","Region 2"
"10052","Area 6","Region 2"
"10053","Area 6","Region 2"
"10054","Area 6","Region 2"
"10055","Area 6","Region 2"
"10056","Area 6","Region 2"
"10057","Area 6","Region 2"
"10058","Area 6","Region 2"
"10059","Area 6","Region 2"
"10060","Area 6","Region 2"
"10061","Area 7","Region 2"
"10062","Area 7","Region 2"
"10063","Area 7","Region 2"
"10064","Area 7","Region 2"
"10065","Area 7","Region 2"
"10066","Area 7","Region 2"
"10067","Area 7","Region 2"
"10068","Area 7","Region 2"
"10069","Area 7","Region 2"
"10070","Area 7","Region 2"
"10071","Area 8","Region 2"
"10072","Area 8","Region 2"
"10073","Area 8","Region 2"
"10074","Area 8","Region 2"
"10075","Area 8","Region 2"
"10076","Area 8","Region 2"
"10077","Area 8","Region 2"
"10078","Area 8","Region 2"
"10079","Area 8","Region 2"
"10080","Area 8","Region 2"
"10081","Area 9","Region 3"
"10082","Area 9","Region 3"
"10083","Area 9","Region 3"
"10084","Area 9","Region 3"
"10085","Area 9","Region 3"
"10086","Area 9","Region 3"
"10087","Area 9","Region 3"
"10088","Area 9","Region 3"
"10089","Area 9","Region 3"
"10090","Area 9","Region 3"
"10091","Area 10","Region 3"
"10092","Area 10","Region 3"
"10093","Area 10","Region 3"
"10094","Area 10","Region 3"
"10095","Area 10","Region 3"
"10096","Area 10","Region 3"
"10097","Area 10","Region 3"
"10098","Area 10","Region 3"
"10099","Area 10","Region 3"
"10100","Area 10","Region 3"
"10101","Area 11","Region 3"
"10102","Area 11","Region 3"
"10103","Area 11","Region 3"
"10104","Area 11","Region 3"
"10105","Area 11","Region 3"
"10106","Area 11","Region 3"
"10107","Area 11","Region 3"
"10108","Area 11","Region 3"
"10109","Area 11","Region 3"
"10110","Area 11","Region 3"
"10111","Area 12","Region 3"
"10112","Area 12","Region 3"
"10113","Area 12","Region 3"
"10114","Area 12","Region 3"
"10115","Area 12","Region 3"
"10116","Area 12","Region 3"
"10117","Area 12","Region 3"
"10118","Area 12","Region 3"
"10119","Area 12","Region 3"
"10120","Area 12","Region 3"
